,breed,Energy Level,Exercise Requirements,Playfulness,Affection Level,Friendliness to Dogs,Friendliness to Other Pets,Friendliness to Strangers,Watchfulness,Ease of Training,Grooming Requirements,Heat Sensitivity,Vocality
673,Yorkshire Terrier/Parson Russell Terrier,4.5,2.5,4.5,3.0,2.0,1.5,3.0,1.5,2.5,3.5,3.5,5.0
674,Toy Poodle/Miniature Schnauzer,3.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0
675,Miniature Pinscher/Australian Cattle Dog,5.0,3.5,4.5,3.5,2.5,1.5,1.5,2.5,3.0,1.5,3.0,5.0
676,Australian Cattle Dog/Beagle,4.0,4.0,4.0,4.5,4.0,3.5,3.5,2.5,3.0,1.5,3.0,4.5
677,Flat Coat Retriever/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
678,Beagle/Manchester Terrier,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
679,Australian Cattle Dog/Bloodhound,4.0,4.0,2.5,4.5,3.0,3.5,2.5,2.5,3.0,1.5,3.5,4.5
680,Norfolk Terrier/Standard Poodle,4.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,5.0
681,Akita/Great Pyrenees,2.0,3.0,2.5,3.0,1.5,2.5,1.5,4.0,2.0,2.5,5.0,5.0
682,Australian Shepherd/Rottweiler,3.5,4.0,3.5,3.0,2.0,2.5,1.5,4.5,4.0,2.0,3.5,5.0
683,Border Collie/Greyhound,3.5,4.0,3.5,3.0,3.0,1.5,2.5,2.5,4.0,2.0,3.5,3.0
685,Manchester Terrier/Jack Russell Terrier,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
686,American Bulldog/American Staffordshire Terrier,2.0,2.0,3.5,4.0,1.0,2.5,3.5,3.5,3.0,1.5,4.0,3.0
687,Basenji/Rhod Ridgeback,4.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,5.0
688,Rottweiler/Australian Cattle Dog,4.0,4.0,3.0,3.0,2.0,2.0,1.5,4.5,4.0,1.5,3.5,5.0
689,German Shepherd/Great Pyrenees,2.0,3.5,2.0,3.0,1.5,3.0,2.0,4.5,3.0,2.5,4.0,5.0
690,Beagle/Cavalier Span,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
691,Dachshund Longhair/Chihuahua Longhair,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
692,Boxer/English Bulldog,3.0,2.0,4.5,5.0,2.0,3.5,3.5,3.5,2.5,1.5,5.0,2.0
693,German Shepherd/Alaskan Husky,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
694,Norwich Terrier/Cairn Terrier,4.0,3.0,3.0,3.5,3.0,2.0,2.0,1.0,2.0,3.0,3.0,5.0
695,Cardigan Welsh Corgi/Australian Shepherd,3.5,4.0,4.0,3.5,2.5,3.5,2.5,4.0,4.5,2.0,3.0,5.0
696,Siberian Husky/Chinese Sharpei,3.0,4.0,4.0,4.0,3.0,3.0,5.0,1.0,1.0,3.0,5.0,3.0
697,Cardigan Welsh Corgi/German Shepherd,3.0,3.5,2.5,3.0,1.5,3.5,2.5,4.5,4.5,1.5,3.0,5.0
699,Australian Shepherd/Boxer,4.5,4.0,5.0,4.5,3.0,3.0,2.5,4.5,4.0,2.0,4.0,4.0
701,Harrier/Pit Bull,4.0,4.0,3.0,3.0,5.0,3.0,4.0,1.0,2.0,1.0,3.0,5.0
702,Pit Bull/Dalmatian,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0
703,Irish Terrier/Labrador Retriever,3.5,3.0,5.0,3.5,2.5,3.0,3.5,3.0,3.0,3.0,3.0,4.5
704,Border Terrier/Standard Schnauzer,3.5,3.0,3.0,2.5,2.5,2.5,2.0,3.0,3.5,3.5,3.0,4.5
705,Anatol Shepherd/Great Pyrenees,1.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,5.0,5.0
706,Boxer/Dogue De Bordeaux,3.5,2.5,3.5,4.5,2.0,3.0,2.5,5.0,2.5,1.5,5.0,4.0
707,Border Collie/Catahoula,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
708,Akita/German Shepherd,3.0,3.5,2.5,3.0,1.0,2.5,1.5,4.5,4.0,2.0,4.0,5.0
709,Australian Shepherd/Beagle,3.5,4.0,4.5,4.5,4.0,4.0,3.5,2.5,3.0,2.0,3.0,4.5
710,Plott Hound/Boxer,4.0,3.0,4.0,4.0,2.5,2.5,2.5,4.5,2.5,1.0,4.0,3.5
711,Rat Terrier/Chihuahua Longhair,4.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,5.0
712,Border Collie/Dalmatian,4.5,4.0,3.5,4.0,3.0,2.0,2.5,3.0,4.0,2.5,3.0,4.0
713,Shetland Sheepdog/Brittany,3.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,5.0,4.0,3.0,5.0
714,Queensland Heeler/Parson Russell Terrier,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
715,Flat Coat Retriever/Chow Chow,1.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,5.0,5.0
716,Vizsla/Golden Retriever,3.0,3.0,4.5,5.0,4.0,4.5,5.0,1.5,4.0,2.0,3.0,3.5
719,Wire Hair Fox Terrier/Golden Retriever,3.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0
720,Scottish Terrier/Miniature Poodle,4.0,3.0,5.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,3.0,5.0
721,Border Collie/Alaskan Husky,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
722,Weimaraner/Labrador Retriever,4.5,3.5,4.5,4.0,3.0,3.5,3.5,3.0,4.5,1.5,3.0,4.5
723,St. Bernard Rough Coat/Standard Schnauzer,4.0,3.0,3.0,2.0,2.0,3.0,1.0,5.0,3.0,4.0,3.0,5.0
724,American Staffordshire Terrier/Jack Russell Terrier,4.0,3.5,4.0,3.0,1.5,1.0,3.0,3.5,3.5,2.0,3.0,5.0
725,Basset Hound/Pointer,3.0,3.0,3.0,4.0,3.5,3.5,3.0,2.0,2.5,1.5,3.0,3.5
726,Plott Hound/Black/Tan Hound,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,4.0
727,Chihuahua Shorthair/Schipperke,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,5.0
728,Chihuahua Shorthair/Smooth Fox Terrier,4.0,3.0,4.0,4.0,3.0,2.0,4.0,1.0,4.0,1.0,3.0,5.0
729,Boxer/Neapolitan Mastiff,2.666666667,2.0,2.333333333,4.333333333,2.333333333,3.0,2.0,4.666666667,2.666666667,1.333333333,4.666666667,4.333333333
730,Chihuahua Longhair/Rat Terrier,4.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,5.0
731,Dachshund/English Bulldog,2.5,1.5,3.5,4.0,2.0,3.0,2.5,2.0,2.0,2.0,4.0,3.0
732,Rottweiler/Basset Hound,2.5,2.5,2.0,3.0,2.0,2.5,2.0,3.0,2.5,1.5,3.5,4.0
733,Australian Cattle Dog/German Shepherd,4.0,4.5,3.0,3.5,2.0,2.5,2.0,4.5,5.0,2.0,3.0,5.0
734,Plott Hound/Mastiff,2.0,2.5,2.0,3.5,2.5,3.0,2.0,4.0,2.5,1.0,3.5,4.5
735,Norfolk Terrier/Bruss Griffon,4.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,5.0
736,Norfolk Terrier/Dachshund Wirehair,4.0,2.5,3.0,2.0,3.0,2.5,2.0,1.5,2.0,2.5,3.0,5.0
737,German Shepherd/English Coonhound,3.0,3.5,2.5,3.0,2.5,3.0,2.5,3.5,3.0,1.5,3.0,4.0
738,Australian Cattle Dog/Belgian Malinois,4.5,5.0,4.0,2.5,3.0,2.5,1.5,4.5,5.0,1.5,3.0,5.0
739,Norwich Terrier/Yorkshire Terrier,4.0,2.0,3.5,3.5,2.5,2.5,3.0,1.0,2.5,3.5,3.5,5.0
740,St. Bernard Rough Coat/Border Collie,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
741,Chihuahua Shorthair/Parson Russell Terrier,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
742,Chihuahua Shorthair/Lhasa Apso,3.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,5.0
743,Cardigan Welsh Corgi/Labrador Retriever,3.5,3.0,4.0,4.0,3.0,4.5,4.0,3.0,4.5,1.5,3.0,4.5
744,Queensland Heeler/Pointer,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0
745,Jack Russell Terrier/Cardigan Welsh Corgi,4.0,3.5,4.0,3.0,2.0,2.5,3.0,3.0,3.5,2.0,3.0,5.0
746,Australian Kelpie/Beagle,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
747,Whippet/Miniature Pinscher,4.0,2.5,4.0,3.5,3.5,2.5,2.0,1.0,2.0,1.0,3.0,4.5
748,Australian Shepherd/Rhod Ridgeback,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
749,Boston Terrier/Beagle,3.0,2.0,3.5,4.0,4.0,4.5,4.0,1.0,2.0,1.0,4.0,4.5
750,English Bulldog/Staffordshire,1.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0
751,Dogue De Bordeaux/Labrador Retriever,3.0,2.5,3.5,4.5,2.5,4.0,3.5,3.5,3.5,2.0,4.0,4.5
752,English Bulldog/American Bulldog,1.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0
753,Dachshund Longhair/Cairn Terrier,4.0,2.5,3.0,3.0,3.0,1.5,1.0,1.5,1.5,2.5,3.0,5.0
754,Dogue De Bordeaux/American Bulldog,1.5,1.5,3.0,4.5,1.0,3.5,3.0,3.5,2.0,2.0,5.0,3.0
755,Miniature Poodle/Bichon Frise,4.0,2.5,5.0,4.5,4.0,3.5,4.5,1.0,4.5,5.0,3.0,4.5
756,Cocker Spaniel/Pembroke Welsh Corgi,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0
757,Miniature Schnauzer/Chihuahua Longhair,3.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0
758,Pointer/Ibizan Hound,3.5,3.5,3.5,3.0,4.0,3.5,3.0,2.0,2.5,1.5,3.0,4.0
759,Pit Bull/Jack Russell Terrier,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
761,Maltese/Shih Tzu,3.5,1.0,4.0,3.5,3.5,3.5,2.5,1.0,2.5,3.5,4.5,4.0
762,Shih Tzu/Havanese,3.5,2.0,4.5,4.5,4.0,4.0,4.5,1.0,3.0,3.5,4.0,3.5
763,Australian Cattle Dog/American Staffordshire Terrier,4.0,4.0,3.5,3.5,2.0,1.5,2.5,4.5,4.5,1.5,3.0,5.0
764,Cardigan Welsh Corgi/Cardigan Welsh Corgi,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,5.0
765,Beagle/Australian Shepherd,3.5,4.0,4.5,4.5,4.0,4.0,3.5,2.5,3.0,2.0,3.0,4.5
766,Siberian Husky/Beagle,3.0,3.5,4.0,4.5,4.0,4.0,5.0,1.0,1.0,2.0,4.0,3.5
767,Italian Greyhound/Beagle,3.0,2.666666667,3.333333333,4.333333333,4.0,3.666666667,3.333333333,1.333333333,2.333333333,1.0,3.0,3.0
768,Maltese/Border Terrier,3.5,2.0,3.5,3.0,3.0,2.5,2.0,1.0,3.5,3.0,3.5,4.5
769,Harrier/German Shepherd,3.5,4.0,2.5,3.0,3.0,3.0,3.0,3.0,3.5,1.5,3.0,5.0
770,Dachshund/German Pinscher,4.0,2.5,3.5,3.5,2.5,1.5,1.5,2.5,2.5,1.5,2.5,5.0
771,Dutch Shepherd/Mastiff,1.0,2.0,1.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,4.0,5.0
772,Border Collie/Doberman Pinsch,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
773,American Bulldog/Pointer,2.5,2.5,4.0,4.5,2.5,4.0,3.5,2.5,2.5,1.5,4.0,2.5
774,Chow Chow/Border Collie,3.0,3.5,2.5,2.5,2.0,2.0,1.5,3.5,3.0,3.0,4.0,4.5
775,Soft Coated Wheaten Terrier/Chihuahua Shorthair,3.0,3.0,4.0,5.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0
776,Labrador Retriever/American Foxhound,4.0,3.5,4.0,4.0,4.5,4.5,4.5,1.5,3.5,1.5,3.0,4.0
777,Australian Kelpie/German Shepherd,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
779,Wire Hair Fox Terrier/German Shepherd,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
781,Australian Kelpie/Miniature Pinscher,5.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0
782,Beagle/Pit Bull,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
783,Toy Poodle/Yorkshire Terrier,4.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,5.0
784,Manchester Terrier/Toy Fox Terrier,4.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,5.0
785,Standard Schnauzer/Toy Poodle,4.0,3.0,3.0,2.0,2.0,3.0,1.0,5.0,3.0,4.0,3.0,5.0
786,Border Terrier/Cardigan Welsh Corgi,3.0,3.0,3.0,3.0,2.5,3.0,3.0,2.5,4.0,2.0,3.0,4.5
787,German Shepherd/Smooth Fox Terrier,3.5,3.5,3.0,3.5,2.0,2.5,3.0,3.0,4.5,1.5,3.0,5.0
788,Cardigan Welsh Corgi/Rat Terrier,3.5,3.0,4.0,3.5,2.5,3.5,2.5,3.0,4.0,1.0,2.5,5.0
789,Shih Tzu/Pekingese,2.0,1.0,2.5,3.0,3.5,4.0,3.0,1.0,1.5,4.5,5.0,4.0
790,Border Terrier/Affenpinscher,3.5,3.0,3.5,3.5,3.0,2.5,3.0,1.0,3.5,3.5,3.5,4.5
791,Cardigan Welsh Corgi/Australian Kelpie,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,5.0
792,Nova Scotia Duck Tolling Retriever/Golden Retriever,4.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,4.5,2.5,3.0,2.5
793,Chow Chow/Chinese Sharpei,1.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,5.0,5.0
794,Vizsla/Dachshund,3.5,2.5,3.5,4.0,3.0,3.0,3.0,1.5,2.5,1.5,3.0,4.5
795,St. Bernard Rough Coat/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
796,Cocker Spaniel/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
797,Standard Schnauzer/Border Terrier,3.5,3.0,3.0,2.5,2.5,2.5,2.0,3.0,3.5,3.5,3.0,4.5
798,Beagle/Australian Cattle Dog,4.0,4.0,4.0,4.5,4.0,3.5,3.5,2.5,3.0,1.5,3.0,4.5
799,Labrador Retriever/German Shorthair Pointer,4.0,3.5,4.5,4.5,4.0,4.5,4.0,2.5,4.0,1.5,3.0,4.0
800,Weimaraner/Pit Bull,5.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,5.0
802,Standard Schnauzer/Soft Coated Wheaten Terrier,3.5,3.0,3.5,3.5,2.5,3.0,2.5,3.5,3.0,4.0,4.0,4.5
803,Australian Cattle Dog/Parson Russell Terrier,5.0,4.5,4.5,3.5,2.5,1.5,2.5,3.0,4.0,2.5,3.0,5.0
804,Rat Terrier/Pointer,4.0,3.5,4.5,4.0,3.5,3.5,2.5,2.5,3.5,1.0,2.5,4.5
805,Airedale Terrier/Labrador Retriever,4.0,3.0,4.5,4.0,2.5,3.5,4.0,3.0,4.0,3.0,3.0,4.0
806,Border Collie/Brittany,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
807,Miniature Poodle/Beagle,3.5,3.0,4.5,4.5,4.5,4.0,4.5,1.0,3.0,3.0,3.0,4.5
808,Pekingese/Miniature Poodle,2.5,2.0,3.0,3.0,3.5,3.5,3.0,1.0,3.0,5.0,4.0,5.0
809,Border Terrier/Pug,3.0,2.5,3.5,3.5,3.0,2.5,2.5,1.0,3.5,2.5,4.0,4.5
810,Bulldog/Pit Bull,1.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0
811,Jack Russell Terrier/Italian Greyhound,3.666666667,3.0,3.666666667,3.666666667,3.0,2.333333333,2.666666667,1.6666666669999999,3.0,1.6666666669999999,3.0,3.333333333
812,Collie Rough/Australian Cattle Dog,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
813,Soft Coated Wheaten Terrier/Border Terrier,3.0,3.0,3.5,4.0,3.0,2.5,3.5,1.5,3.5,3.5,4.0,4.0
814,Basset Hound/Beagle,2.5,2.5,3.0,4.5,4.0,4.0,4.0,1.0,1.5,1.5,3.0,3.5
815,Labrador Retriever/Irish Setter,4.5,4.0,5.0,5.0,3.5,4.0,5.0,1.5,4.0,2.5,3.0,4.0
819,Basenji/Chow Chow,2.5,2.5,2.0,2.5,1.5,2.0,2.0,2.5,1.5,2.0,4.0,5.0
820,American Bulldog/Blue Lacy,1.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0
821,German Shepherd/Swedish Vallhund,3.5,4.0,3.0,4.0,2.0,3.0,2.5,3.5,4.5,2.0,3.0,5.0
823,American Foxhound/Pointer,4.0,4.0,3.5,3.5,4.5,4.0,3.5,2.0,2.5,1.0,3.0,4.0
824,Cocker Spaniel/Beagle,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
825,Great Pyrenees/Anatol Shepherd,1.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,5.0,5.0
826,Maltese/Yorkshire,4.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,5.0
827,Boston Terrier/Pointer,3.5,2.5,3.5,3.5,3.5,4.0,3.0,2.0,3.0,1.0,4.0,4.5
828,St. Bernard Rough Coat/German Shepherd,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
829,American Pit Bull Terrier/Chinese Sharpei,4.0,3.0,5.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,5.0
831,Pointer/Queensland Heeler,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0
832,Shiba Inu/Dachshund,3.5,2.5,3.0,3.0,2.5,2.0,2.0,2.5,2.0,2.5,3.5,5.0
833,Pomeranian/Schipperke,4.0,2.0,3.5,2.5,2.0,3.0,1.5,2.5,2.0,2.5,3.5,5.0
835,German Shepherd/Basenji,3.5,3.5,2.5,3.0,1.5,2.0,2.5,3.0,3.5,1.5,3.0,5.0
836,Boxer/Redbone Hound,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
838,Nova Scotia Duck Tolling Retriever/Border Collie,5.0,5.0,4.5,4.0,4.0,3.0,2.5,2.5,4.5,2.5,3.0,3.0
839,Australian Cattle Dog/Cairn Terrier,4.5,4.0,3.5,3.5,3.0,1.5,1.5,2.5,3.0,2.5,3.0,5.0
840,Boxer/Australian Cattle Dog,5.0,4.0,4.5,4.5,3.0,2.5,2.5,4.5,4.0,1.5,4.0,4.0
841,Cairn Terrier/Affenpinscher,4.0,3.0,3.5,3.5,3.0,2.0,2.0,1.0,2.0,3.5,3.5,5.0
842,Golden Retriever/Cocker Spaniel,3.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0
843,Belgian Malinois/Australian Shepherd,4.0,5.0,4.5,2.5,3.0,3.0,1.5,4.5,5.0,2.0,3.0,5.0
844,Great Dane/Australian Shepherd,3.0,3.5,3.5,4.0,2.5,2.5,3.0,3.5,4.0,2.0,3.5,4.5
845,Plott Hound/Australian Cattle Dog,4.0,4.0,3.5,3.5,2.5,2.0,2.0,4.0,3.5,1.5,3.0,4.5
846,Boykin Span/Dachshund,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
847,Pembroke Welsh Corgi/Chihuahua Shorthair,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0
848,Australian Cattle Dog/Anatol Shepherd,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
849,Harrier/Catahoula,4.0,4.0,3.0,3.0,5.0,3.0,4.0,1.0,2.0,1.0,3.0,5.0
850,Catahoula/Boxer,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
852,Basset Hound/Dachshund,3.0,2.0,2.5,3.5,3.0,2.5,2.0,1.5,2.0,2.0,3.0,4.0
853,Siberian Husky/Border Collie,4.0,4.5,4.0,3.5,3.0,2.0,3.5,2.0,3.0,3.0,4.0,3.5
854,Miniature Schnauzer/Lhasa Apso,3.0,2.5,3.5,3.5,2.5,3.0,2.0,1.0,2.0,3.5,3.5,5.0
855,Australian Shepherd/Brittany,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
856,Labrador Retriever/Vizsla,3.5,3.0,4.5,5.0,3.5,4.5,5.0,1.5,4.0,1.5,3.0,4.0
857,Pointer/Rhod Ridgeback,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0
858,Silky Terrier/Maltese,4.0,1.5,4.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.5,5.0
859,Pointer/Harrier,4.0,4.0,3.5,3.5,4.5,3.5,3.5,2.0,2.5,1.0,3.0,4.5
860,Miniature Schnauzer/Jack Russell Terrier,4.0,3.5,4.5,3.5,2.5,2.0,3.0,1.5,3.0,3.0,3.0,5.0
861,Great Pyrenees/Siberian Husky,2.0,3.5,3.0,3.5,2.5,3.0,3.5,2.5,1.0,3.0,5.0,4.0
863,Labrador Retriever/Spanish Water Dog,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
864,Cocker Spaniel/Golden Retriever,3.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0
865,Belgian Malinois/German Shepherd,3.5,4.5,3.0,2.0,2.0,3.0,1.5,5.0,5.0,1.5,3.0,5.0
866,Australian Shepherd/Collie Rough,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
867,Australian Cattle Dog/Boston Terrier,4.0,3.0,3.5,3.5,3.0,3.0,2.5,2.5,4.0,1.5,4.0,5.0
868,Blue Lacy/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
869,Dachshund Longhair/Australian Shepherd,4.0,3.5,4.0,3.5,3.0,2.5,1.5,3.0,3.5,2.5,3.0,5.0
870,Australian Cattle Dog/Rhod Ridgeback,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
871,Labrador Retriever/English Pointer,4.0,3.666666667,4.333333333,4.333333333,4.0,4.333333333,3.666666667,2.666666667,3.666666667,1.333333333,3.0,4.0
872,American Staffordshire Terrier/Pit Bull,3.0,3.0,3.0,3.0,1.0,1.0,3.0,5.0,4.0,1.0,3.0,5.0
873,Border Collie/Pembroke Welsh Corgi,4.0,4.0,3.5,3.5,3.0,2.5,3.0,3.5,4.5,2.0,3.0,4.5
874,Vizsla/Boxer,4.0,3.0,4.5,5.0,3.0,3.5,4.0,3.0,3.0,1.0,4.0,3.5
875,Pug/Staffordshire,3.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,5.0,5.0
876,American Bulldog/Mastiff,1.0,1.5,2.5,4.5,2.0,4.0,3.0,3.0,2.5,1.5,4.5,3.0
877,Chow Chow/English Cocker Spaniel,2.0,2.5,2.5,3.5,3.0,4.0,2.5,3.0,2.5,3.0,4.0,4.5
878,Golden Retriever/Pit Bull,3.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0
879,Australian Cattle Dog/Australian Kelpie,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
880,Pomeranian/Jack Russell Terrier,4.5,2.5,4.5,2.0,1.5,2.0,2.0,1.5,2.0,3.0,3.0,5.0
881,Dachshund Longhair/Cocker Spaniel,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
882,Plott Hound/Rhod Ridgeback,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,4.0
883,Catahoula/Irish Wolfhound,1.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0
884,Catahoula/Jack Russell Terrier,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
885,Jack Russell Terrier/Cavalier Span,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
886,Australian Cattle Dog/Cardigan Welsh Corgi,4.0,4.0,3.5,3.5,2.5,3.0,2.5,4.0,4.5,1.5,3.0,5.0
887,Pomeranian/Chihuahua Longhair,4.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0
888,Akita/Pit Bull,3.0,3.0,3.0,3.0,1.0,2.0,1.0,4.0,3.0,2.0,5.0,5.0
889,Akita/Labrador Retriever,3.5,3.0,4.0,4.0,2.5,3.5,3.0,3.0,4.0,2.0,4.0,4.5
890,English Coonhound/Italian Greyhound,3.0,2.666666667,3.0,3.666666667,3.666666667,3.0,2.666666667,1.6666666669999999,2.333333333,1.0,3.0,2.666666667
891,Akita/Border Collie,4.0,4.0,3.5,3.0,2.0,1.5,1.5,3.5,4.0,2.5,4.0,4.5
892,Chinese Sharpei/Boxer,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
894,Catahoula/Beagle,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
895,Collie Smooth/Beagle,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
896,Standard Poodle/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
897,Miniature Schnauzer/Pug,3.0,2.5,4.0,4.0,3.0,3.0,2.5,1.0,3.0,2.5,4.0,5.0
